year_film,year_ceremony,ceremony,category,nominee,film,winner
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Charlize Theron,North Country,False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Frances McDormand,North Country,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,George Clooney,Syriana,True
2005,2006,63,Best Original Score - Motion Picture,Alexandre Desplat,Syriana,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Keira Knightley,Pride & Prejudice,False
2005,2006,63,Best Performance by an Actress in a Supporting Role in any Motion Picture,Scarlett Johansson,Match Point,False
2005,2006,63,Best Director - Motion Picture,Woody Allen,Match Point,False
2005,2006,63,Best Screenplay - Motion Picture,Woody Allen,Match Point,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Ziyi Zhang,Memoirs of a Geisha,False
2005,2006,63,Best Original Score - Motion Picture,John Williams,Memoirs of a Geisha,True
2005,2006,63,Best Director - Motion Picture,Steven Spielberg,Munich,False
2005,2006,63,Best Screenplay - Motion Picture,Tony Kushner,Munich,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Drama,Felicity Huffman,Transamerica,True
2005,2006,63,Best Original Song - Motion Picture,"Travelin' Thru, Dolly Parton",Transamerica,False
2005,2006,63,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Judi Dench,Mrs. Henderson Presents,False
2005,2006,63,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bob Hoskins,Mrs. Henderson Presents,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Penélope Cruz,Volver,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Pirates of the Caribbean: Dead Man's Chest,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Toni Collette,Little Miss Sunshine,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Adriana Barraza,Babel,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Rinko Kikuchi,Babel,False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Brad Pitt,Babel,False
2006,2007,64,Best Director - Motion Picture,Alejandro González Iñárritu,Babel,False
2006,2007,64,Best Screenplay - Motion Picture,Guillermo Arriaga,Babel,False
2006,2007,64,Best Original Score - Motion Picture,Gustavo Santaolalla,Babel,False
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ben Affleck,Hollywoodland,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Annette Bening,Running With Scissors,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Little Children,False
2006,2007,64,Best Screenplay - Motion Picture,"Todd Field, Tom Perrotta",Little Children,False
2006,2007,64,Best Director - Motion Picture,Clint Eastwood,Flags of Our Fathers,False
2006,2007,64,Best Original Song - Motion Picture,"""The Song of the Heart"", Prince ",Happy Feet,True
2006,2007,64,Best Original Song - Motion Picture,"""Never Gonna Break My Faith"", Bryan Adams, Eliot Kennedy, Andrea Remanda",Bobby,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Blood Diamond,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Beyoncé,Dreamgirls,False
2006,2007,64,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Hudson,Dreamgirls,True
2006,2007,64,Best Performance by an Actor in a Supporting Role in any Motion Picture,Eddie Murphy,Dreamgirls,True
2006,2007,64,Best Original Song - Motion Picture,"""Listen"", Beyoncé, Henry Krieger, Anne Preven, Scott Cutler",Dreamgirls,False
2006,2007,64,Best Director - Motion Picture,Clint Eastwood,Letters from Iwo Jima,False
2006,2007,64,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Renée Zellweger,Miss Potter,False
2006,2007,64,Best Performance by an Actor in a Motion Picture - Drama,Peter O'Toole,Venus,False
1997,1998,55,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Armand Assante,The Odyssey,False
1995,1996,53,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Donald Sutherland,Citizen X,True
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Nikki Blonsky,Hairspray,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,John Travolta,Hairspray,False
1950,1951,8,Promoting International Understanding,Delmer Daves,Broken Arrow,True
1950,1951,8,Cinematography - Color,Ernest Palmer,Broken Arrow,False
1996,1997,54,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Armand Assante,Gotti,False
1996,1997,54,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Anthony Quinn,Gotti,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Drama,Keira Knightley,Atonement,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,James McAvoy,Atonement,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Saoirse Ronan,Atonement,False
2007,2008,65,Best Director - Motion Picture,Joe Wright,Atonement,False
2007,2008,65,Best Screenplay - Motion Picture,Christopher Hampton,Atonement,False
2007,2008,65,Best Original Score - Motion Picture,Dario Marianelli,Atonement,True
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Viggo Mortensen,Eastern Promises,False
2007,2008,65,Best Original Score - Motion Picture,Howard Shore,Eastern Promises,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,George Clooney,Michael Clayton,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Tilda Swinton,Michael Clayton,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Wilkinson,Michael Clayton,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ryan Gosling,Lars and the Real Girl,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Ryan,Gone Baby Gone,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,American Gangster,False
2007,2008,65,Best Director - Motion Picture,Ridley Scott,American Gangster,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Javier Bardem,No Country for Old Men,True
2007,2008,65,Best Director - Motion Picture,"Ethan Coen, Joel Coen",No Country for Old Men,False
2007,2008,65,Best Screenplay - Motion Picture,"Joel Coen, Ethan Coen",No Country for Old Men,True
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,Enchanted,False
2007,2008,65,Best Original Song - Motion Picture,"That's How You Know, Alan Menken, Stephen Schwartz",Enchanted,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Cate Blanchett,I'm Not There,True
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Ellen Page,Juno,False
2007,2008,65,Best Screenplay - Motion Picture,Diablo Cody,Juno,False
2007,2008,65,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helena Bonham Carter,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Sweeney Todd: The Demon Barber of Fleet Street,True
2007,2008,65,Best Director - Motion Picture,Tim Burton,Sweeney Todd: The Demon Barber of Fleet Street,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,There Will Be Blood,True
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Tom Hanks,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Charlie Wilson's War,False
2007,2008,65,Best Screenplay - Motion Picture,Aaron Sorkin,Charlie Wilson's War,False
2007,2008,65,Best Performance by an Actor in a Motion Picture - Musical or Comedy,John C. Reilly,Walk Hard: The Dewey Cox Story,False
2007,2008,65,Best Original Song - Motion Picture,"""Walk Hard"", John C. Reilly, Jake Kasdan, Judd Apatow, Marshall Crenshaw",Walk Hard: The Dewey Cox Story,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Colin Farrell,In Bruges,True
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Brendan Gleeson,In Bruges,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Sally Hawkins,Happy-Go-Lucky,True
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Kevin Spacey,Recount,False
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Tom Wilkinson,Recount,False
2008,2009,66,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Laura Dern,Recount,True
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Denis Leary,Recount,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Mamma Mia!,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Rebecca Hall,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Javier Bardem,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Penélope Cruz,Vicky Cristina Barcelona,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Musical or Comedy,James Franco,Pineapple Express,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tom Cruise,Tropic Thunder,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Downey Jr.,Tropic Thunder,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Frances McDormand,Burn After Reading,False
2008,2009,66,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Laura Linney,John Adams,True
2008,2009,66,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Paul Giamatti,John Adams,True
2008,2009,66,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Tom Wilkinson,John Adams,True
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Anne Hathaway,Rachel Getting Married,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Angelina Jolie,Changeling,False
2008,2009,66,Best Original Score - Motion Picture,Clint Eastwood,Changeling,False
2008,2009,66,Best Director - Motion Picture,Danny Boyle,Slumdog Millionaire,True
2008,2009,66,Best Screenplay - Motion Picture,Simon Beaufoy,Slumdog Millionaire,True
2008,2009,66,Best Original Score - Motion Picture,A. R. Rahman,Slumdog Millionaire,True
2008,2009,66,Best Original Song - Motion Picture,"""I Thought I Lost You"", Miley Cyrus, Jeffrey Steele",Bolt,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Sean Penn,Milk,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Meryl Streep,Doubt,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Viola Davis,Doubt,False
2008,2009,66,Best Performance by an Actress in a Supporting Role in any Motion Picture,Amy Adams,Doubt,False
2008,2009,66,Best Performance by an Actor in a Supporting Role in any Motion Picture,Philip Seymour Hoffman,Doubt,False
2008,2009,66,Best Screenplay - Motion Picture,John Patrick Shanley,Doubt,False
2008,2009,66,Best Original Song - Motion Picture,"Gran Torino, Clint Eastwood, Jamie Cullum, Kyle Eastwood, Michael Stevens",Gran Torino,False
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Frank Langella,Frost/Nixon,False
2008,2009,66,Best Director - Motion Picture,Ron Howard,Frost/Nixon,False
2008,2009,66,Best Screenplay - Motion Picture,Peter Morgan,Frost/Nixon,False
2008,2009,66,Best Original Score - Motion Picture,Hans Zimmer,Frost/Nixon,False
2008,2009,66,Best Performance by an Actress in a Motion Picture - Drama,Kate Winslet,Revolutionary Road,True
2008,2009,66,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,Revolutionary Road,False
2008,2009,66,Best Director - Motion Picture,Sam Mendes,Revolutionary Road,False
2008,2009,66,Best Original Score - Motion Picture,James Newton Howard,Defiance,False
2000,2001,58,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Alec Baldwin,Nuremberg,False
2000,2001,58,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Brian Cox,Nuremberg,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Roberts,Duplicity,False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Inglourious Basterds,True
2009,2010,67,Best Director - Motion Picture,Quentin Tarantino,Inglourious Basterds,False
2009,2010,67,Best Screenplay - Motion Picture,Quentin Tarantino,Inglourious Basterds,False
2009,2010,67,Best Original Score - Motion Picture,Michael Giacchino,Up,True
1977,1978,35,Best Performance by an Actress In A Television Series - Drama,Leslie Uggams,Roots,False
2009,2010,67,Best Screenplay - Motion Picture,"Neill Blomkamp, Terri Tatchell",District 9,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Julie & Julia,True
1996,1997,54,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Demi Moore,If These Walls Could Talk,False
1996,1997,54,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Cher,If These Walls Could Talk,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Tobey Maguire,Brothers,False
2009,2010,67,Best Original Song - Motion Picture,"""Winter"", U2",Brothers,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Morgan Freeman,Invictus,False
2009,2010,67,Best Performance by an Actor in a Supporting Role in any Motion Picture,Matt Damon,Invictus,False
2009,2010,67,Best Director - Motion Picture,Clint Eastwood,Invictus,False
2009,2010,67,Best Director - Motion Picture,James Cameron,Avatar,True
2009,2010,67,Best Original Score - Motion Picture,James Horner,Avatar,False
2009,2010,67,Best Original Song - Motion Picture,"I See You, James Horner, Simon Franglen, Kuk Harrell",Avatar,False
2009,2010,67,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,It's Complicated,False
2009,2010,67,Best Screenplay - Motion Picture,Nancy Meyers,It's Complicated,False
2009,2010,67,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Robert Downey Jr.,Sherlock Holmes,True
2009,2010,67,Best Performance by an Actor in a Motion Picture - Drama,Jeff Bridges,Crazy Heart,True
2009,2010,67,Best Original Song - Motion Picture,"""The Weary Kind (Theme From Crazy Heart)"", T Bone Burnett, Ryan Bingham",Crazy Heart,True
2010,2011,68,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Claire Danes,Temple Grandin,True
2010,2011,68,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",David Strathairn,Temple Grandin,False
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Johnny Depp,Alice in Wonderland,False
2010,2011,68,Best Original Score - Motion Picture,Danny Elfman,Alice in Wonderland,False
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Michelle Williams,Blue Valentine,False
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,Ryan Gosling,Blue Valentine,False
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Lawrence,Winter's Bone,False
2009,2010,67,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Chiwetel Ejiofor,Endgame,False
2010,2011,68,Best Director - Motion Picture,Christopher Nolan,Inception,False
2010,2011,68,Best Screenplay - Motion Picture,Christopher Nolan,Inception,False
2010,2011,68,Best Original Score - Motion Picture,Hans Zimmer,Inception,False
2010,2011,68,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emma Stone,Easy A,False
2010,2011,68,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Douglas,Wall Street: Money Never Sleeps,False
2010,2011,68,Best Performance by an Actor in a Motion Picture - Drama,James Franco,127 Hours,False
2010,2011,68,Best Screenplay - Motion Picture,"Danny Boyle, Simon Beaufoy",127 Hours,False
2010,2011,68,Best Original Score - Motion Picture,A. R. Rahman,127 Hours,False
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Natalie Portman,Black Swan,True
2010,2011,68,Best Performance by an Actress in a Supporting Role in any Motion Picture,Mila Kunis,Black Swan,False
2010,2011,68,Best Director - Motion Picture,Darren Aronofsky,Black Swan,False
2010,2011,68,Best Original Song - Motion Picture,"I See The Light, Alan Menken, Glenn Slater",Tangled,False
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Kevin Spacey,Casino Jack,False
2010,2011,68,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Paul Giamatti,Barney's Version,True
2010,2011,68,Best Performance by an Actress in a Motion Picture - Drama,Nicole Kidman,Rabbit Hole,False
2010,2011,68,Best Original Song - Motion Picture,"""You Haven't Seen The Last of Me"", Diane Warren",Burlesque,True
2010,2011,68,Best Original Song - Motion Picture,"""Bound To You"", Sia, Christina Aguilera, Samuel Dixon",Burlesque,False
2011,2012,69,Best Original Song - Motion Picture,"Hello Hello, Elton John, Lady Gaga, Bernie Taupin",Gnomeo & Juliet,False
2011,2012,69,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Kate Winslet,Mildred Pierce,True
2011,2012,69,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Evan Rachel Wood,Mildred Pierce,False
2011,2012,69,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Guy Pearce,Mildred Pierce,False
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kristen Wiig,Bridesmaids,False
2011,2012,69,Best Performance by an Actor in a Supporting Role in any Motion Picture,Albert Brooks,Drive,False
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Brad Pitt,Moneyball,False
2011,2012,69,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jonah Hill,Moneyball,False
2011,2012,69,Best Screenplay - Motion Picture,"Aaron Sorkin, Steve Zaillian, Stan Chervin",Moneyball,False
2011,2012,69,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joseph Gordon-Levitt,50/50,False
2011,2012,69,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Jean Dujardin,The Artist,True
2011,2012,69,Best Performance by an Actress in a Supporting Role in any Motion Picture,Bérénice Bejo,The Artist,False
2011,2012,69,Best Director - Motion Picture,Michel Hazanavicius,The Artist,False
2011,2012,69,Best Screenplay - Motion Picture,Michel Hazanavicius,The Artist,False
2011,2012,69,Best Original Score - Motion Picture,Ludovic Bource,The Artist,True
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jodie Foster,Carnage,False
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Kate Winslet,Carnage,False
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Michael Fassbender,Shame,False
2011,2012,69,Best Performance by an Actor in a Motion Picture - Drama,Leonardo DiCaprio,J. Edgar,False
2011,2012,69,Best Director - Motion Picture,Martin Scorsese,Hugo,True
2011,2012,69,Best Original Score - Motion Picture,Howard Shore,Hugo,False
2011,2012,69,Best Original Score - Motion Picture,John Williams,War Horse,False
2012,2013,70,Best Original Song - Motion Picture,"""Safe & Sound"", Taylor Swift, John Paul White, Joy Williams, T Bone Burnett",The Hunger Games,False
2011,2012,69,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Charlize Theron,Young Adult,False
2012,2013,70,Best Original Song - Motion Picture,"""For You"", Keith Urban, Monty Powell",Act of Valor,False
2012,2013,70,Best Original Song - Motion Picture,"""Skyfall"", Adele, Paul Epworth",Skyfall,True
2012,2013,70,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep,Hope Springs,False
2012,2013,70,Best Performance by an Actor in a Supporting Role in any Motion Picture,Alan Arkin,Argo,False
2012,2013,70,Best Director - Motion Picture,Ben Affleck,Argo,True
2012,2013,70,Best Screenplay - Motion Picture,Chris Terrio,Argo,False
2012,2013,70,Best Original Score - Motion Picture,Alexandre Desplat,Argo,False
2012,2013,70,Best Original Score - Motion Picture,"Tom Tykwer, Johnny Klimek, Reinhold Heil",Cloud Atlas,False
2012,2013,70,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Jennifer Lawrence,Silver Linings Playbook,True
2012,2013,70,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bradley Cooper,Silver Linings Playbook,False
2012,2013,70,Best Screenplay - Motion Picture,David O. Russell,Silver Linings Playbook,False
2012,2013,70,Best Performance by an Actor in a Motion Picture - Drama,Denzel Washington,Flight,False
2012,2013,70,Best Original Score - Motion Picture,Dario Marianelli,Anna Karenina,False
2012,2013,70,Best Director - Motion Picture,Ang Lee,Life of Pi,False
2012,2013,70,Best Original Score - Motion Picture,Mychael Danna,Life of Pi,True
2012,2013,70,Best Performance by an Actor in a Motion Picture - Drama,Daniel Day-Lewis,Lincoln,True
2012,2013,70,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sally Field,Lincoln,False
2012,2013,70,Best Performance by an Actor in a Supporting Role in any Motion Picture,Tommy Lee Jones,Lincoln,False
2012,2013,70,Best Director - Motion Picture,Steven Spielberg,Lincoln,False
2012,2013,70,Best Screenplay - Motion Picture,Tony Kushner,Lincoln,False
2012,2013,70,Best Original Score - Motion Picture,John Williams,Lincoln,False
2012,2013,70,Best Performance by an Actress in a Motion Picture - Drama,Helen Mirren,Hitchcock,False
2012,2013,70,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray,Hyde Park on Hudson,False
2012,2013,70,Best Performance by an Actress in a Motion Picture - Drama,Jessica Chastain,Zero Dark Thirty 	,True
2012,2013,70,Best Director - Motion Picture,Kathryn Bigelow,Zero Dark Thirty 	,False
2012,2013,70,Best Screenplay - Motion Picture,Mark Boal,Zero Dark Thirty 	,False
2012,2013,70,Best Performance by an Actor in a Supporting Role in any Motion Picture,Christoph Waltz,Django Unchained,True
2012,2013,70,Best Performance by an Actor in a Supporting Role in any Motion Picture,Leonardo DiCaprio,Django Unchained,False
2012,2013,70,Best Director - Motion Picture,Quentin Tarantino,Django Unchained,False
2012,2013,70,Best Screenplay - Motion Picture,Quentin Tarantino,Django Unchained,True
2012,2013,70,Best Original Song - Motion Picture,"""Not Running Anymore"", Jon Bon Jovi",Stand Up Guys,False
2013,2014,71,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Delpy,Before Midnight,False
2013,2014,71,Best Performance by an Actress in a Limited Series or a Motion Picture Made for Television,Helen Mirren,Phil Spector,False
2013,2014,71,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Al Pacino,Phil Spector,False
2013,2014,71,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Michael Douglas,Behind the Candelabra,True
2013,2014,71,Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television,Matt Damon,Behind the Candelabra,False
2013,2014,71,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Rob Lowe,Behind the Candelabra,False
2013,2014,71,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett,Blue Jasmine,True
2013,2014,71,Best Performance by an Actress in a Supporting Role in any Motion Picture,Sally Hawkins,Blue Jasmine,False
2013,2014,71,Best Performance by an Actress in a Motion Picture - Drama,Sandra Bullock,Gravity,False
2013,2014,71,Best Director - Motion Picture,Alfonso Cuarón,Gravity,True
2013,2014,71,Best Original Score - Motion Picture,Steven Price,Gravity,False
2013,2014,71,Best Performance by an Actor in a Supporting Role in any Motion Picture,Daniel Brühl,Rush,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bruce Dern,Nebraska,False
2013,2014,71,Best Performance by an Actress in a Supporting Role in any Motion Picture,June Squibb,Nebraska,False
2013,2014,71,Best Director - Motion Picture,Alexander Payne,Nebraska,False
2013,2014,71,Best Screenplay - Motion Picture,Bob Nelson,Nebraska,False
2013,2014,71,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julia Louis-Dreyfus,Enough Said,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Drama,Tom Hanks,Captain Phillips,False
2013,2014,71,Best Performance by an Actor in a Supporting Role in any Motion Picture,Barkhad Abdi,Captain Phillips,False
2013,2014,71,Best Director - Motion Picture,Paul Greengrass,Captain Phillips,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Drama,Chiwetel Ejiofor,12 Years a Slave,False
2013,2014,71,Best Performance by an Actress in a Supporting Role in any Motion Picture,Lupita Nyong'o,12 Years a Slave,False
2013,2014,71,Best Performance by an Actor in a Supporting Role in any Motion Picture,Michael Fassbender,12 Years a Slave,False
2013,2014,71,Best Director - Motion Picture,Steve McQueen,12 Years a Slave,False
2013,2014,71,Best Screenplay - Motion Picture,John Ridley,12 Years a Slave,False
2013,2014,71,Best Original Score - Motion Picture,Hans Zimmer,12 Years a Slave,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Drama,Robert Redford,All Is Lost,False
2013,2014,71,Best Original Score - Motion Picture,Alex Ebert,All Is Lost,True
2013,2014,71,Best Performance by an Actor in a Motion Picture - Drama,Matthew McConaughey,Dallas Buyers Club,True
2013,2014,71,Best Performance by an Actor in a Supporting Role in any Motion Picture,Jared Leto,Dallas Buyers Club,True
2013,2014,71,Best Performance by an Actress in a Motion Picture - Drama,Judi Dench,Philomena,False
2013,2014,71,Best Screenplay - Motion Picture,"Steve Coogan, Jeff Pope",Philomena,False
2013,2014,71,Best Original Song - Motion Picture,"""Atlas"", Chris Martin, Guy Berryman, Jon Buckland, Will Champion",The Hunger Games: Catching Fire,False
2013,2014,71,Best Original Song - Motion Picture,"""Let It Go"", Kristen Anderson Lopez, Robert Lopez",Frozen,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Oscar Isaac,Inside Llewyn Davis,False
2013,2014,71,Best Original Song - Motion Picture,"""Please Mr. Kennedy"", Ed Rush, George Cromarty, T Bone Burnett, Justin Timberlake, Joel Coen, Ethan Coen",Inside Llewyn Davis,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Drama,Idris Elba,Mandela: Long Walk to Freedom,False
2013,2014,71,Best Original Score - Motion Picture,Alex Heffes,Mandela: Long Walk to Freedom,False
2013,2014,71,Best Original Song - Motion Picture,"""Ordinary Love"", U2, Danger Mouse, Bono",Mandela: Long Walk to Freedom,True
2013,2014,71,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams,American Hustle,True
2013,2014,71,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christian Bale,American Hustle,False
2013,2014,71,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jennifer Lawrence,American Hustle,True
2013,2014,71,Best Performance by an Actor in a Supporting Role in any Motion Picture,Bradley Cooper,American Hustle,False
2013,2014,71,Best Director - Motion Picture,David O. Russell,American Hustle,False
2013,2014,71,Best Screenplay - Motion Picture,"Eric Warren Singer , David O. Russell",American Hustle,False
2013,2014,71,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix,Her,False
2013,2014,71,Best Screenplay - Motion Picture,Spike Jonze,Her,True
2013,2014,71,Best Performance by an Actress in a Motion Picture - Drama,Emma Thompson,Saving Mr. Banks,False
2014,2015,72,Best Original Score - Motion Picture,Hans Zimmer,Interstellar,False
2014,2015,72,Best Original Song - Motion Picture,"""Mercy Is"", Patti Smith, Lenny Kaye",Noah,False
2014,2015,72,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Arquette,Boyhood,True
